node,degree_centrality,betweenness,type
C:health_beauty,0.15835210814290313,0.1986595577850526,Category
C:housewares,0.1506276150627615,0.17911162089160163,Category
C:sports_leisure,0.15481171548117156,0.17594204827895898,Category
C:auto,0.12327003540392663,0.14916730041628293,Category
C:furniture_decor,0.11908593498551659,0.14131074302411595,Category
C:computers_accessories,0.09237206308336016,0.1038015571974767,Category
C:bed_bath_table,0.06308336015448987,0.0679551042531998,Category
C:toys,0.08110717734148697,0.06699421191277147,Category
C:baby,0.0785323463147731,0.06637275637472592,Category
C:garden_tools,0.07627936916639846,0.0642923663152481,Category
C:cool_stuff,0.08593498551657548,0.062071992732691955,Category
C:perfumery,0.05632442870936595,0.05604976634012112,Category
C:stationery,0.05568072095268748,0.044834796225790174,Category
C:pet_shop,0.04409398133247506,0.040499313792541215,Category
C:fashion_bags_accessories,0.03186353395558417,0.029450883134072306,Category
C:telephony,0.047956227872545866,0.029405836554081032,Category
C:electronics,0.047956227872545866,0.027765356687798993,Category
C:watches_gifts,0.03250724171226264,0.027079394657611718,Category
C:construction_tools_construction,0.04119729642742195,0.02580674820199216,Category
C:luggage_accessories,0.023495333118764082,0.02142048096029002,Category
C:musical_instruments,0.02252977148374638,0.021029327172455498,Category
C:small_appliances,0.03379465722561957,0.019615431001437415,Category
C:books_general_interest,0.017380109430318636,0.01697591772576232,Category
C:furniture_living_room,0.018023817186997103,0.01609358631709471,Category
C:home_construction,0.021886063727067914,0.014547167943827067,Category
