node,degree_centrality,betweenness,type
S:1da3aeb70d7989d1e6d9b0e887f97c23,0.006758931445123914,0.023259623289791857,Seller
S:b2ba3715d723d245138f291a6fe42594,0.008690054715159318,0.02088674777566068,Seller
S:955fee9216a65b617aa5c0531780ce60,0.007402639201802382,0.017619374116106822,Seller
S:4e922959ae960d389249c378d1c939f5,0.007402639201802382,0.01492263582856205,Seller
S:f8db351d8c4c4c22c6835c19a46f01b0,0.006115223688445446,0.014179314488729495,Seller
S:6edacfd9f9074789dad6d62ba7950b9c,0.00482780817508851,0.011499720261484209,Seller
S:7f7b8245c336066a1f9933c359f11d77,0.002574831026713872,0.009716332158597813,Seller
S:2ff97219cb8622eaf3cd89b7d9c09824,0.004505954296749276,0.009456032688886083,Seller
S:44073f8b7e41514de3b7815dd0237f4f,0.004505954296749276,0.009407565043357062,Seller
S:fd386aa7bed2af3c7035c65506c9b4a3,0.004505954296749276,0.008873176048463901,Seller
S:95e03ca3d4146e4011985981aeb959b9,0.004184100418410042,0.008640642755953049,Seller
S:b499c00f28f4b7069ff6550af8c1348a,0.003862246540070808,0.008358775616260163,Seller
S:0bae85eb84b9fb3bd773911e89288d54,0.004184100418410042,0.008334805635411757,Seller
S:8b28d096634035667e8263d57ba3368c,0.004505954296749276,0.008193335154800098,Seller
S:0be8ff43f22e456b4e0371b2245e4d01,0.004184100418410042,0.008126202509631815,Seller
S:18a349e75d307f4b4cc646a691ed4216,0.005471515931766978,0.007617198193483292,Seller
S:dfa0c4c6229ab200a4a1336b4d7128ff,0.003540392661731574,0.007484767404005112,Seller
S:70a12e78e608ac31179aea7f8422044b,0.00482780817508851,0.007455839507521656,Seller
S:8444e55c1f13cd5c179851e5ca5ebd00,0.003862246540070808,0.007336659943125519,Seller
S:f3da5b2ff499efb8d4a6d371d175d7dd,0.003540392661731574,0.007317233152073916,Seller
S:2eb70248d66e0e3ef83659f71b244378,0.003540392661731574,0.007107418703328215,Seller
S:7299e27ed73d2ad986de7f7c77d919fa,0.004184100418410042,0.00702664950801867,Seller
S:7178f9f4dd81dcef02f62acdf8151e01,0.004505954296749276,0.006566402048490318,Seller
S:a3a38f4affed601eb87a97788c949667,0.003862246540070808,0.006251260521901701,Seller
S:3078096983cf766a32a06257648502d1,0.00321853878339234,0.006240604499188245,Seller
