entity,top_percent,n_entities,share_of_revenue,revenue
Sellers,Top 1%,31,0.26073787308006025,3543856.2700000005
Sellers,Top 5%,155,0.5330246289490358,7244680.84
Sellers,Top 10%,310,0.6756485795754048,9183174.76
Sellers,Top 20%,619,0.8269167790206272,11239158.23
Sellers,Gini,3095,0.7915146728964932,13591643.700000001
Products,Top 1%,330,0.24503528958752796,3330432.35
Products,Top 5%,1648,0.4782068639718682,6499617.31
Products,Top 10%,3296,0.6084552547533304,8269907.029999999
Products,Top 20%,6591,0.7483428689349766,10171209.64
Products,Gini,32951,0.7090185931896815,13591643.700000001
Categories,Top 1%,1,0.09384664219706629,1258681.34
Categories,Top 5%,4,0.33467703432120033,4488724.67
Categories,Top 10%,8,0.5515897097109808,7397980.99
Categories,Top 20%,15,0.7730642957328553,10368422.149999999
Categories,Gini,73,0.7185593172412705,13412108.42
Customers,Top 1%,955,0.11527463525254122,1566771.77
Customers,Top 5%,4771,0.2924930249606234,3975460.9800000004
Customers,Top 10%,9542,0.41232761641625437,5604210.050000001
Customers,Top 20%,19084,0.5675707096412481,7714218.86
Customers,Gini,95420,0.5216526550610887,13591643.700000001
Customer States,Top 1%,1,0.38280543287049235,5202955.05
Customer States,Top 5%,2,0.5170123551723181,7027047.72
Customer States,Top 10%,3,0.6336507886827552,8612355.75
Customer States,Top 20%,6,0.7774112611559998,10566296.87
Customer States,Gini,27,0.7103482385092794,13591643.7
