purchase_month,revenue,orders
2016-09,267.36,4
2016-10,49507.66,324
2016-12,10.9,1
2017-01,120312.87,800
2017-02,247303.02,1780
2017-03,374344.3,2682
2017-04,359927.23,2404
2017-05,506071.14,3700
2017-06,433038.6,3245
2017-07,498031.48,4026
2017-08,573971.68,4331
2017-09,624401.6900000001,4285
2017-10,664219.43,4631
2017-11,1010271.37,7544
2017-12,743914.17,5673
2018-01,950030.36,7269
2018-02,844178.71,6728
2018-03,983213.4400000001,7211
2018-04,996647.75,6939
2018-05,996517.68,6873
2018-06,865124.31,6167
2018-07,895507.22,6292
2018-08,854686.33,6512
2018-09,145.0,16
2018-10,0.0,4
