customer_state,main_category,orders
AC,auto,4
AC,baby,3
AC,bed_bath_table,3
AC,books_general_interest,2
AC,christmas_supplies,1
AC,computers,1
AC,computers_accessories,7
AC,consoles_games,1
AC,cool_stuff,1
AC,electronics,4
AC,fashion_bags_accessories,1
AC,fashion_shoes,2
AC,furniture_decor,6
AC,furniture_living_room,1
AC,garden_tools,2
AC,health_beauty,6
AC,housewares,3
AC,luggage_accessories,2
AC,market_place,1
AC,musical_instruments,1
AC,perfumery,3
AC,small_appliances,1
AC,sports_leisure,9
AC,stationery,2
AC,telephony,5
AC,toys,3
AC,watches_gifts,4
AL,agro_industry_and_commerce,1
AL,air_conditioning,1
AL,audio,5
AL,auto,21
AL,baby,7
AL,bed_bath_table,19
AL,books_general_interest,1
AL,computers,2
AL,computers_accessories,34
AL,consoles_games,7
AL,construction_tools_construction,2
AL,cool_stuff,16
AL,drinks,1
AL,dvds_blu_ray,1
AL,electronics,13
AL,fashion_bags_accessories,4
AL,fashion_shoes,3
AL,fixed_telephony,4
AL,food,1
AL,food_drink,1
AL,furniture_decor,25
AL,furniture_living_room,3
AL,garden_tools,13
AL,health_beauty,63
AL,home_appliances,3
AL,home_appliances_2,2
AL,home_confort,1
AL,home_construction,3
AL,housewares,9
AL,industry_commerce_and_business,1
AL,kitchen_dining_laundry_garden_furniture,1
AL,luggage_accessories,5
AL,market_place,2
AL,musical_instruments,1
AL,office_furniture,3
AL,perfumery,12
AL,pet_shop,3
AL,sports_leisure,32
AL,stationery,8
AL,telephony,26
AL,toys,12
AL,watches_gifts,35
AM,air_conditioning,1
AM,art,1
AM,audio,1
AM,auto,4
AM,baby,5
AM,bed_bath_table,7
AM,books_general_interest,1
AM,computers,1
AM,computers_accessories,11
AM,consoles_games,2
AM,cool_stuff,4
AM,costruction_tools_garden,2
AM,drinks,1
AM,electronics,4
AM,fashion_bags_accessories,1
AM,fixed_telephony,1
AM,food,1
AM,furniture_decor,4
AM,garden_tools,5
AM,health_beauty,15
AM,home_appliances,2
AM,home_appliances_2,1
AM,home_construction,4
AM,housewares,4
AM,luggage_accessories,2
AM,market_place,1
AM,music,1
AM,musical_instruments,1
AM,office_furniture,2
AM,perfumery,2
AM,pet_shop,4
AM,sports_leisure,12
AM,stationery,6
AM,tablets_printing_image,1
AM,telephony,14
AM,toys,6
AM,watches_gifts,11
AP,agro_industry_and_commerce,1
AP,art,2
AP,auto,3
AP,bed_bath_table,3
AP,computers,1
AP,computers_accessories,7
AP,consoles_games,1
AP,cool_stuff,2
AP,electronics,3
AP,fixed_telephony,2
AP,furniture_decor,2
AP,garden_tools,2
AP,health_beauty,10
AP,housewares,4
AP,musical_instruments,2
AP,pet_shop,1
AP,sports_leisure,6
AP,stationery,2
AP,telephony,4
AP,toys,3
AP,watches_gifts,7
BA,agro_industry_and_commerce,3
BA,air_conditioning,6
BA,art,10
BA,audio,14
BA,auto,148
BA,baby,95
BA,bed_bath_table,222
BA,books_general_interest,15
BA,books_imported,1
BA,books_technical,10
BA,christmas_supplies,8
BA,cine_photo,3
BA,computers,19
BA,computers_accessories,222
BA,consoles_games,33
BA,construction_tools_construction,25
BA,construction_tools_lights,6
BA,construction_tools_safety,7
BA,cool_stuff,138
BA,costruction_tools_garden,7
BA,costruction_tools_tools,4
BA,diapers_and_hygiene,1
BA,drinks,6
BA,electronics,98
BA,fashio_female_clothing,1
BA,fashion_bags_accessories,70
BA,fashion_childrens_clothes,1
BA,fashion_male_clothing,7
BA,fashion_shoes,7
BA,fashion_sport,1
BA,fashion_underwear_beach,6
BA,fixed_telephony,8
BA,food,15
BA,food_drink,6
BA,furniture_bedroom,4
BA,furniture_decor,201
BA,furniture_living_room,17
BA,garden_tools,143
BA,health_beauty,329
BA,home_appliances,38
BA,home_appliances_2,6
BA,home_comfort_2,1
BA,home_confort,8
BA,home_construction,10
BA,housewares,139
BA,industry_commerce_and_business,4
BA,kitchen_dining_laundry_garden_furniture,3
BA,luggage_accessories,32
BA,market_place,4
BA,musical_instruments,33
BA,office_furniture,61
BA,perfumery,80
BA,pet_shop,53
BA,portateis_cozinha_e_preparadores_de_alimentos,1
BA,signaling_and_security,6
